Extra options: []
Measured: 20 times

Total Average: 162.488300 msec
Total Max:     168.835000 msec
Total Min:     155.318000 msec

  AVERAGE       MAX       MIN
------------------------------
70.342200 74.272000 67.853000: opening buffers
38.623000 41.539000 36.667000: /Users/hungdh4/.config/nvim/init.vim
29.444900 32.600000 27.383000: /Users/hungdh4/.config/nvim/init.bundles.vim
 9.472600 10.665000  8.807000: BufEnter autocommands
 9.388600 10.741000  8.444000: loading plugins
 4.928033 10.039000  0.017000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/filetype.vim
 4.624650  5.336000  4.144000: /Users/hungdh4/.config/nvim/plugged/vim-colors-solarized/colors/solarized.vim
 4.110150  6.981000  1.459000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/syntax/syntax.vim
 4.077100  5.554000  3.341000: /Users/hungdh4/.config/nvim/plugged/vimwiki/plugin/vimwiki.vim
 2.172850  2.802000  1.887000: /Users/hungdh4/.config/nvim/plugged/vim-airline/plugin/airline.vim
 2.160300  2.982000  1.841000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/matchit.vim
 2.156200  3.042000  1.882000: /Users/hungdh4/.config/nvim/plugged/vim-devicons/plugin/webdevicons.vim
 1.800700  2.086000  1.612000: /Users/hungdh4/.config/nvim/plugged/vim-gitgutter/plugin/gitgutter.vim
 1.663050  2.108000  1.277000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/ftoff.vim
 1.619050  1.751000  1.525000: /Users/hungdh4/.config/nvim/autoload/plug.vim
 1.174050  1.398000  1.043000: /Users/hungdh4/.config/nvim/plugged/vim-fugitive/plugin/fugitive.vim
 1.173000  1.805000  0.975000: /Users/hungdh4/.config/nvim/plugged/vim-bundler/plugin/bundler.vim
 1.167250  1.835000  0.933000: reading ShaDa
 1.134500  1.774000  0.711000: /Users/hungdh4/.config/nvim/plugged/vim-airline-themes/autoload/airline/themes/solarized.vim
 1.113450  1.299000  1.010000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/term.vim
 0.926400  1.456000  0.777000: /Users/hungdh4/.config/nvim/plugged/supertab/plugin/supertab.vim
 0.862050  1.389000  0.658000: /Users/hungdh4/.config/nvim/plugged/fzf.vim/plugin/fzf.vim
 0.785800  0.972000  0.743000: locale set
 0.779150  1.039000  0.648000: /Users/hungdh4/.config/nvim/plugged/vim-rails/plugin/rails.vim
 0.666200  1.222000  0.505000: loading after plugins
 0.619450  1.000000  0.482000: /Users/hungdh4/.fzf/plugin/fzf.vim
 0.616250  0.800000  0.474000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/syntax/synload.vim
 0.601800  1.200000  0.506000: /Users/hungdh4/.config/nvim/plugged/vim-tmux-runner/plugin/vim-tmux-runner.vim
 0.593200  0.786000  0.499000: /Users/hungdh4/.config/nvim/plugged/ultisnips/plugin/UltiSnips.vim
 0.528300  0.621000  0.494000: init highlight
 0.511050  0.807000  0.416000: /Users/hungdh4/.config/nvim/plugged/matchit.zip/plugin/matchit.vim
 0.506550  0.926000  0.364000: /Users/hungdh4/.config/nvim/plugged/vim-surround/plugin/surround.vim
 0.497900  0.621000  0.433000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions.vim
 0.479700  0.917000  0.381000: /Users/hungdh4/.config/nvim/plugged/editorconfig-vim/plugin/editorconfig.vim
 0.466650  0.683000  0.372000: /Users/hungdh4/.config/nvim/plugged/vimwiki/autoload/vimwiki/vars.vim
 0.456900  0.607000  0.386000: /Users/hungdh4/.config/nvim/plugged/vim-multiple-cursors/plugin/multiple_cursors.vim
 0.455050  0.540000  0.434000: inits 1
 0.442650  0.611000  0.393000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/netrwPlugin.vim
 0.422650  0.597000  0.328000: /Users/hungdh4/.config/nvim/plugged/auto-pairs/plugin/auto-pairs.vim
 0.390600  0.459000  0.346000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/highlighter.vim
 0.384800  0.431000  0.368000: /Users/hungdh4/.config/nvim/plugged/vim-gitgutter/autoload/gitgutter.vim
 0.370000  0.525000  0.329000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/branch.vim
 0.358150  0.383000  0.343000: sourcing vimrc file(s)
 0.350800  0.486000  0.281000: /Users/hungdh4/.config/nvim/plugged/vim-endwise/plugin/endwise.vim
 0.332700  0.519000  0.306000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/builder.vim
 0.305000  0.516000  0.260000: /Users/hungdh4/.config/nvim/plugged/vim-prettier/plugin/prettier.vim
 0.249550  0.344000  0.194000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/syntax/nosyntax.vim
 0.241350  0.354000  0.214000: expanding arguments
 0.232400  0.350000  0.196000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/hunks.vim
 0.222200  0.282000  0.201000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/whitespace.vim
 0.199300  0.348000  0.166000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/gzip.vim
 0.192950  0.262000  0.165000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline.vim
 0.189750  0.333000  0.156000: /Users/hungdh4/.config/nvim/plugged/vim-rooter/plugin/rooter.vim
 0.188550  0.290000  0.162000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/util.vim
 0.182900  0.293000  0.148000: /Users/hungdh4/.config/nvim/plugged/vim-commentary/plugin/commentary.vim
 0.180450  0.257000  0.161000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/matchparen.vim
 0.177650  0.236000  0.161000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/zipPlugin.vim
 0.171700  0.258000  0.153000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/wordcount.vim
 0.171680  0.246000  0.124000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/syntax/syncolor.vim
 0.168700  0.202000  0.156000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/rplugin.vim
 0.153800  0.244000  0.128000: /Users/hungdh4/.config/nvim/plugged/vim-tmux-navigator/plugin/tmux_navigator.vim
 0.152050  0.297000  0.126000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/default.vim
 0.148650  0.174000  0.133000: /Users/hungdh4/.config/nvim/plugged/vim-gitgutter/autoload/gitgutter/utility.vim
 0.147900  0.194000  0.134000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/tarPlugin.vim
 0.136150  0.156000  0.111000: /Users/hungdh4/.config/nvim/plugged/vim-ruby/ftdetect/ruby_extra.vim
 0.130850  0.173000  0.112000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/parts.vim
 0.127950  0.222000  0.097000: /Users/hungdh4/.config/nvim/plugged/cosco.vim/plugin/cosco.vim
 0.127800  0.150000  0.111000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/init.vim
 0.127000  0.138000  0.107000: /Users/hungdh4/.config/nvim/plugged/vim-gitgutter/autoload/gitgutter/highlight.vim
 0.124550  0.153000  0.112000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/section.vim
 0.121450  0.142000  0.112000: loading packages
 0.117900  0.203000  0.091000: /Users/hungdh4/.config/nvim/plugged/ultisnips/after/plugin/UltiSnips_after.vim
 0.112650  0.175000  0.102000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/shada.vim
 0.107900  0.147000  0.097000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/themes.vim
 0.106350  0.168000  0.086000: /Users/hungdh4/.config/nvim/plugged/vim-rspec/plugin/rspec.vim
 0.102700  0.126000  0.093000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/quickfix.vim
 0.101850  0.414000  0.076000: /Users/hungdh4/.config/nvim/functions.vim
 0.097800  0.113000  0.080000: /Users/hungdh4/.config/nvim/plugged/vim-ruby/ftdetect/ruby.vim
 0.096000  0.224000  0.075000: /Users/hungdh4/.config/nvim/plugged/ultisnips/autoload/UltiSnips/map_keys.vim
 0.092400  0.109000  0.083000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/tohtml.vim
 0.091250  0.108000  0.083000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/fugitiveline.vim
 0.084400  0.140000  0.067000: /Users/hungdh4/.config/nvim/plugged/vim-scratch/plugin/scratch.vim
 0.080050  0.139000  0.069000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/man.vim
 0.074650  0.089000  0.066000: inits 2
 0.074050  0.089000  0.066000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/netrw.vim
 0.068050  0.097000  0.053000: /Users/hungdh4/.config/nvim/plugged/vimwiki/autoload/vimwiki/u.vim
 0.061600  0.074000  0.051000: /Users/hungdh4/.config/nvim/plugged/vim-airline/autoload/airline/extensions/keymap.vim
 0.053550  0.074000  0.046000: /Users/hungdh4/.config/nvim/plugged/vim-jsx/ftdetect/javascript.vim
 0.050300  0.094000  0.040000: /Users/hungdh4/.config/nvim/plugged/vim-snippets/plugin/vimsnippets.vim
 0.038400  0.044000  0.034000: /Users/hungdh4/.config/nvim/plugged/vim-airline-themes/plugin/airline-themes.vim
 0.035100  0.039000  0.030000: /Users/hungdh4/.config/nvim/plugged/vim-javascript/ftdetect/javascript.vim
 0.034550  0.048000  0.030000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
 0.030225  0.048000  0.015000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/ftplugin.vim
 0.029750  0.035000  0.028000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/spellfile.vim
 0.029650  0.052000  0.024000: /Users/hungdh4/.config/nvim/plugged/vim-run-interactive/plugin/run-interactive.vim
 0.028500  0.072000  0.015000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/indent.vim
 0.027900  0.034000  0.026000: window checked
 0.027900  0.030000  0.026000: /Users/hungdh4/.config/nvim/plugged/vim-prettier/ftdetect/markdown.vim
 0.027050  0.044000  0.023000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/tutor.vim
 0.024350  0.029000  0.020000: /Users/hungdh4/.config/nvim/plugged/tern_for_vim/ftdetect/tern.vim
 0.022550  0.029000  0.020000: /Users/hungdh4/.config/nvim/plugged/ultisnips/ftdetect/snippets.vim
 0.021650  0.029000  0.018000: /Users/hungdh4/.config/nvim/plugged/scss-syntax.vim/ftdetect/scss.vim
 0.020350  0.034000  0.017000: /usr/local/Cellar/neovim/0.4.3/share/nvim/runtime/plugin/health.vim
 0.020000  0.023000  0.017000: /Users/hungdh4/.config/nvim/plugged/vim-prettier/ftdetect/css.vim
 0.019950  0.024000  0.017000: /Users/hungdh4/.config/nvim/plugged/vim-fugitive/ftdetect/fugitive.vim
 0.019950  0.022000  0.017000: /Users/hungdh4/.config/nvim/plugged/vim-prettier/ftdetect/graphql.vim
 0.019000  0.023000  0.017000: /Users/hungdh4/.config/nvim/plugged/vim-prettier/ftdetect/typescript.vim
 0.018750  0.021000  0.016000: /Users/hungdh4/.config/nvim/plugged/vim-vue/ftdetect/vue.vim
 0.018500  0.021000  0.016000: /Users/hungdh4/.config/nvim/plugged/vim-prettier/ftdetect/yaml.vim
 0.018250  0.020000  0.016000: /Users/hungdh4/.config/nvim/plugged/vim-prettier/ftdetect/javascript.vim
